img,date,location,city,state,species,clicked_by,scientific_name,sub_species,species_name,sub_sub_family,sub_family,latitude,longitude
4-4.jpg,13-03-20,"Dosdewa Forest Trail, Karimganj, Assam, India",Karimganj,Assam,Indian Skipper,Makunda Nature Club,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,24.3527,92.3448
4-5.jpg,06-06-20,"Makunda Christian Hospital,Karimganj, Assam, India",Karimganj,Assam,Indian Skipper,Makunda Nature Club,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,24.432,92.3307
4-6.jpg,11-04-20,"Dosdewa Forest trail,Karimganj, Assam, India",Karimganj,Assam,Indian Skipper,Makunda Nature Club,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,24.3527,92.3448
4-7.jpg,17-03-20,"Dosdewa Forest Trail,Karimganj, Assam, India",Karimganj,Assam,Indian Skipper,Makunda Nature Club,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,24.3527,92.3448
indian.jpg,10-03-20,"Dosdewa Forest Trail,Karimganj, Assam, India",Karimganj,Assam,Indian Skipper,Makunda Nature Club,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,24.3527,92.3448
4-8.jpg,10-01-20,"Makunda Forest Trail,Karimganj, Assam, India",Karimganj,Assam,Indian Skipper,Makunda Nature Club,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,24.3527,92.3448
4-9.jpg,03-04-20,"Dosdewa Forest Trail,Karimganj, Assam, India",Karimganj,Assam,Banana Skipper,Makunda Nature Club,Erionota Thrax,Thrax,Erionota,Aeromachini,Hesperiinae,24.3527,92.3448
6-1.jpg,01-10-19,"Abloli, Chiplun",Chiplun,Maharashtra,Banana skipper (Erionota Torus),Viraj Khorjuwekar,Erionota Torus,Torus,Erionota,Aeromachini,Hesperiinae,17.53231,73.517792
6-2.jpg,10-11-19,"Tungareshwar WLS,Palghar District-Maharashtra.",Palghar,Maharashtra,Banana Skipper(Erionota Torus),Sagar Sarang,Erionota Torus,Torus,Erionota,Aeromachini,Hesperiinae,19.40331,72.95787
6-3.jpg,01-07-19,"Kadma, Bankura, West Bengal",Bankura,WestBengal,Indian Skipper (Spialia Galba),Aniruddha Singhamahapatra,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,22.9888,87.0106
