img,date,location,species,click by,scientific name,latitude,longitude
3-22.jpg,17-Oct-20,"Uttarakannada, Karnataka ",Pygmy Scrub Hopper,Puttaraju Kenchappa,Aeromachus pygmaeus,14.7937,74.6869
3-23.jpg,07-Nov-20,Bangalore,Asian Marbelled Skipper,Kanishka Sarangi,Gomalia elma albofasciata,12.9716,77.5946
3-24.jpg,02-Sep-20,"Davangere, Karnataka",African Marbled Skipper,Dr-Shishupala S,Gomalia elma,14.4644,75.9218
3-25.jpg,19-Jun-20,WB,Indian Grizzled Skipper ,Prosenjit Das,Spialia galba,22.9868,87.855
3-26.jpg,15-Jan-20,"Bandipur, Karnataka",Banana skipper,Nitin Marathe,Erionota thrax thrax,11.6677,76.6326
3-27.jpg,26-Jan-20,"Sinhagad Valley, Pune, Maharashtra",Large Skipper,Pavan Damoor,Ochlodes sylvanus,18.3759,73.7692
3-28.jpg,22-May-20,"Kannur, Kerala ",indian Grizzled Skipper,A.V. Unnikrishnan Kalliad,Spialia galba,11.8745,75.3704
3-29.jpg,13-Sep-20,Maharashtra,Indian Skipper (Spialia galba),Laxmishankar Yadav,Spialia galba,19.7515,75.7139
3-30.jpg,16-Aug-20,"Jorhat, Assam",Indian Grizzled Skipper,Pankaj Baruah,Spialia galba,26.7509,94.2037
3-31.jpg,28-Aug-20,Ranthmbhore,Asian Grizzled Skipper *Spialia galba* ,Dharmendra Khandal,Spialia galba,26.0173,76.5026
3-32.jpg,29-Nov-20,"Pune, Maharashtra",omaha,Swanand Oak,Potanthus omaha,18.5204,73.8567
3-33.jpg,26-Feb-20,Bangalore,INDIAN SKIPPER,Vikram Bellur,Spialia galba,12.9716,77.5946
3-34.jpg,24-Feb-20,Vadodara Gujarat ,Fiery Skipper,Deepti Patel Mehta,Hylephila phyleus,22.3072,73.1812
3-35.jpg,06-Aug-20,"Sriperumbudur, Tamilnadu ",Common Checkered Skipper,Vijay,Pyrgus communis,12.9625,79.9453
3-36.jpg,06-May-20,"Konalu, Dakshina Kannada",Spialia galba,Shubha Bhat,Spialia galba,12.8406,75.3823
3-37.jpg,12-Oct-20,Uttar Pradesh,Indian Grizzled Skipper (Spialia galba ,Ratindra Pandey,Spialia galba,26.8467,80.9462
3-38.jpg,29-Dec-20,west bengal,Fiery skipper,Riddha Roy Tubelight,Hylephila phyleus,22.9868,87.855
3-39.jpg,27-Apr-20,"Jhansi,Uttar Pradesh",Asian Grizzled Skipper,Shashank Pathour,Spialia galba,25.4484,78.5685
3-40.jpg,17-Sep-20,Rajasthan,Lesser Millet Skipper,Rajpal Singh Tanwar,Pelopidas mathias,27.0238,74.2179
3-41.jpg,09-Aug-20,Uttar Pradesh,Grizzled Skipper (Spialia galba ,Ratindra Pandey,Spialia galba,26.8467,80.9462
3-42.jpg,06-Sep-20,Bangalore,Indian Grizzled Skipper,Kanishka Sarangi,Spialia galba,12.9716,77.5946
3-43.jpg,12-Jul-20, Punjab ,Indian grizzled skipper Spialia galba,Tanya Vinit Mishra,Spialia galba,31.1471,75.3412
3-44.jpg,18-Jun-20,"WB, India",Indian Grizzled Skipper ,Prosenjit Das,Spialia galba,22.9868,87.855
3-45.jpg,Oct-20,Madhya Pradesh,Branded Skipper,Nikhil Jambhale,Hesperia,22.9734,78.6569
3-46.jpg,11-Nov-20,"Uttarpara, West Bengal, India",Lesser Millet Skipper,Somdatta Ghosh,Pelopidas mathias,22.6701,88.3355
4-1.jpg,07-03-20,"Namdapha National Park, Arunachal Pradesh, India.",Indian Skipper(Burara Amara),Isaac Kehimkar,Burara Amara,27.4455,96.5358
4-2.jpg,19-08-20,"Kadma,Bankura,West Bengal",Coladenia indrani -Tricolour pied flat,Aniruddha singhamahapatra,Coladenia indrani indra,22.9888,87.0106
